# Format:          MT3DData_1.0
# Description:     Data file generated at 28-Feb-2020 17:45:18
Receiver Location (m):      55
#          X            Y            Z
    -8000.00    -10000.00         0.00
    -4000.00    -10000.00         0.00
        0.00    -10000.00         0.00
     4000.00    -10000.00         0.00
     8000.00    -10000.00         0.00
    -8000.00     -8000.00         0.00
    -4000.00     -8000.00         0.00
        0.00     -8000.00         0.00
     4000.00     -8000.00         0.00
     8000.00     -8000.00         0.00
    -8000.00     -6000.00         0.00
    -4000.00     -6000.00         0.00
        0.00     -6000.00         0.00
     4000.00     -6000.00         0.00
     8000.00     -6000.00         0.00
    -8000.00     -4000.00         0.00
    -4000.00     -4000.00         0.00
        0.00     -4000.00         0.00
     4000.00     -4000.00         0.00
     8000.00     -4000.00         0.00
    -8000.00     -2000.00         0.00
    -4000.00     -2000.00         0.00
        0.00     -2000.00         0.00
     4000.00     -2000.00         0.00
     8000.00     -2000.00         0.00
    -8000.00         0.00         0.00
    -4000.00         0.00         0.00
        0.00         0.00         0.00
     4000.00         0.00         0.00
     8000.00         0.00         0.00
    -8000.00      2000.00         0.00
    -4000.00      2000.00         0.00
        0.00      2000.00         0.00
     4000.00      2000.00         0.00
     8000.00      2000.00         0.00
    -8000.00      4000.00         0.00
    -4000.00      4000.00         0.00
        0.00      4000.00         0.00
     4000.00      4000.00         0.00
     8000.00      4000.00         0.00
    -8000.00      6000.00         0.00
    -4000.00      6000.00         0.00
        0.00      6000.00         0.00
     4000.00      6000.00         0.00
     8000.00      6000.00         0.00
    -8000.00      8000.00         0.00
    -4000.00      8000.00         0.00
        0.00      8000.00         0.00
     4000.00      8000.00         0.00
     8000.00      8000.00         0.00
    -8000.00     10000.00         0.00
    -4000.00     10000.00         0.00
        0.00     10000.00         0.00
     4000.00     10000.00         0.00
     8000.00     10000.00         0.00
Frequencies (Hz):       4
    1.00000e+02
    1.00000e+00
    1.00000e-02
    1.00000e-04
DataType:  Rho_Phs
DataComp:     4
RhoXY
PhsXY
RhoYX
PhsYX
Data Block:     880
# FreqNo.  RxNo.   DCompNo.    Value          Error
     1       13       3    1.000000e+00    2.000000e-02
     1       13       4    1.000000e+00    2.000000e-02
     1       14       1    1.000000e+00    2.000000e-02
     1       14       2    1.000000e+00    2.000000e-02
     1       14       3    1.000000e+00    2.000000e-02
     1       14       4    1.000000e+00    2.000000e-02
     1       15       1    1.000000e+00    2.000000e-02
     1       15       2    1.000000e+00    2.000000e-02
     1       15       3    1.000000e+00    2.000000e-02
     1       15       4    1.000000e+00    2.000000e-02
     1       16       1    1.000000e+00    2.000000e-02
     1       16       2    1.000000e+00    2.000000e-02
     1       16       3    1.000000e+00    2.000000e-02
     1       16       4    1.000000e+00    2.000000e-02
     1       17       1    1.000000e+00    2.000000e-02
     1       17       2    1.000000e+00    2.000000e-02
     1       17       3    1.000000e+00    2.000000e-02
     1       17       4    1.000000e+00    2.000000e-02
     1       18       1    1.000000e+00    2.000000e-02
     1       18       2    1.000000e+00    2.000000e-02
     1       18       3    1.000000e+00    2.000000e-02
     1       18       4    1.000000e+00    2.000000e-02
     1       19       1    1.000000e+00    2.000000e-02
     1       19       2    1.000000e+00    2.000000e-02
     1       19       3    1.000000e+00    2.000000e-02
     1       19       4    1.000000e+00    2.000000e-02
     1       20       1    1.000000e+00    2.000000e-02
     1       20       2    1.000000e+00    2.000000e-02
     1       20       3    1.000000e+00    2.000000e-02
     1       20       4    1.000000e+00    2.000000e-02
     1       21       1    1.000000e+00    2.000000e-02
     1       21       2    1.000000e+00    2.000000e-02
     1       21       3    1.000000e+00    2.000000e-02
     1       21       4    1.000000e+00    2.000000e-02
     1       22       1    1.000000e+00    2.000000e-02
     1       22       2    1.000000e+00    2.000000e-02
     1       22       3    1.000000e+00    2.000000e-02
     1       22       4    1.000000e+00    2.000000e-02
     1       23       1    1.000000e+00    2.000000e-02
     1       23       2    1.000000e+00    2.000000e-02
     1       23       3    1.000000e+00    2.000000e-02
     1       23       4    1.000000e+00    2.000000e-02
     1       24       1    1.000000e+00    2.000000e-02
     1       24       2    1.000000e+00    2.000000e-02
     1       24       3    1.000000e+00    2.000000e-02
     1       24       4    1.000000e+00    2.000000e-02
     1       25       1    1.000000e+00    2.000000e-02
     1       25       2    1.000000e+00    2.000000e-02
     1       25       3    1.000000e+00    2.000000e-02
     1       25       4    1.000000e+00    2.000000e-02
     1       26       1    1.000000e+00    2.000000e-02
     1       26       2    1.000000e+00    2.000000e-02
     1       26       3    1.000000e+00    2.000000e-02
     1       26       4    1.000000e+00    2.000000e-02
     1       27       1    1.000000e+00    2.000000e-02
     1       27       2    1.000000e+00    2.000000e-02
     1       27       3    1.000000e+00    2.000000e-02
     1       27       4    1.000000e+00    2.000000e-02
     1       28       1    1.000000e+00    2.000000e-02
     1       28       2    1.000000e+00    2.000000e-02
     1       28       3    1.000000e+00    2.000000e-02
     1       28       4    1.000000e+00    2.000000e-02
     1       29       1    1.000000e+00    2.000000e-02
     1       29       2    1.000000e+00    2.000000e-02
     1       29       3    1.000000e+00    2.000000e-02
     1       29       4    1.000000e+00    2.000000e-02
     1       30       1    1.000000e+00    2.000000e-02
     1       30       2    1.000000e+00    2.000000e-02
     1       30       3    1.000000e+00    2.000000e-02
     1       30       4    1.000000e+00    2.000000e-02
     1       31       1    1.000000e+00    2.000000e-02
     1       31       2    1.000000e+00    2.000000e-02
     1       31       3    1.000000e+00    2.000000e-02
     1       31       4    1.000000e+00    2.000000e-02
     1       32       1    1.000000e+00    2.000000e-02
     1       32       2    1.000000e+00    2.000000e-02
     1       32       3    1.000000e+00    2.000000e-02
     1       32       4    1.000000e+00    2.000000e-02
     1       33       1    1.000000e+00    2.000000e-02
     1       33       2    1.000000e+00    2.000000e-02
     1       33       3    1.000000e+00    2.000000e-02
     1       33       4    1.000000e+00    2.000000e-02
     1       34       1    1.000000e+00    2.000000e-02
     1       34       2    1.000000e+00    2.000000e-02
     1       34       3    1.000000e+00    2.000000e-02
     1       34       4    1.000000e+00    2.000000e-02
     1       35       1    1.000000e+00    2.000000e-02
     1       35       2    1.000000e+00    2.000000e-02
     1       35       3    1.000000e+00    2.000000e-02
     1       35       4    1.000000e+00    2.000000e-02
     1       36       1    1.000000e+00    2.000000e-02
     1       36       2    1.000000e+00    2.000000e-02
     1       36       3    1.000000e+00    2.000000e-02
     1       36       4    1.000000e+00    2.000000e-02
     1       37       1    1.000000e+00    2.000000e-02
     1       37       2    1.000000e+00    2.000000e-02
     1       37       3    1.000000e+00    2.000000e-02
     1       37       4    1.000000e+00    2.000000e-02
     1       38       1    1.000000e+00    2.000000e-02
     1       38       2    1.000000e+00    2.000000e-02
     1       38       3    1.000000e+00    2.000000e-02
     1       38       4    1.000000e+00    2.000000e-02
     1       39       1    1.000000e+00    2.000000e-02
     1       39       2    1.000000e+00    2.000000e-02
     1       39       3    1.000000e+00    2.000000e-02
     1       39       4    1.000000e+00    2.000000e-02
     1       40       1    1.000000e+00    2.000000e-02
     1       40       2    1.000000e+00    2.000000e-02
     1       40       3    1.000000e+00    2.000000e-02
     1       40       4    1.000000e+00    2.000000e-02
     1       41       1    1.000000e+00    2.000000e-02
     1       41       2    1.000000e+00    2.000000e-02
     1       41       3    1.000000e+00    2.000000e-02
     1       41       4    1.000000e+00    2.000000e-02
     1       42       1    1.000000e+00    2.000000e-02
     1       42       2    1.000000e+00    2.000000e-02
     1       42       3    1.000000e+00    2.000000e-02
     1       42       4    1.000000e+00    2.000000e-02
     1       43       1    1.000000e+00    2.000000e-02
     1       43       2    1.000000e+00    2.000000e-02
     1       43       3    1.000000e+00    2.000000e-02
     1       43       4    1.000000e+00    2.000000e-02
     1       44       1    1.000000e+00    2.000000e-02
     1       44       2    1.000000e+00    2.000000e-02
     1       44       3    1.000000e+00    2.000000e-02
     1       44       4    1.000000e+00    2.000000e-02
     1       45       1    1.000000e+00    2.000000e-02
     1       45       2    1.000000e+00    2.000000e-02
     1       45       3    1.000000e+00    2.000000e-02
     1       45       4    1.000000e+00    2.000000e-02
     1       46       1    1.000000e+00    2.000000e-02
     1       46       2    1.000000e+00    2.000000e-02
     1       46       3    1.000000e+00    2.000000e-02
     1       46       4    1.000000e+00    2.000000e-02
     1       47       1    1.000000e+00    2.000000e-02
     1       47       2    1.000000e+00    2.000000e-02
     1       47       3    1.000000e+00    2.000000e-02
     1       47       4    1.000000e+00    2.000000e-02
     1       48       1    1.000000e+00    2.000000e-02
     1       48       2    1.000000e+00    2.000000e-02
     1       48       3    1.000000e+00    2.000000e-02
     1       48       4    1.000000e+00    2.000000e-02
     1       49       1    1.000000e+00    2.000000e-02
     1       49       2    1.000000e+00    2.000000e-02
     1       49       3    1.000000e+00    2.000000e-02
     1       49       4    1.000000e+00    2.000000e-02
     1       50       1    1.000000e+00    2.000000e-02
     1       50       2    1.000000e+00    2.000000e-02
     1       50       3    1.000000e+00    2.000000e-02
     1       50       4    1.000000e+00    2.000000e-02
     1       51       1    1.000000e+00    2.000000e-02
     1       51       2    1.000000e+00    2.000000e-02
     1       51       3    1.000000e+00    2.000000e-02
     1       51       4    1.000000e+00    2.000000e-02
     1       52       1    1.000000e+00    2.000000e-02
     1       52       2    1.000000e+00    2.000000e-02
     1       52       3    1.000000e+00    2.000000e-02
     1       52       4    1.000000e+00    2.000000e-02
     1       53       1    1.000000e+00    2.000000e-02
     1       53       2    1.000000e+00    2.000000e-02
     1       53       3    1.000000e+00    2.000000e-02
     1       53       4    1.000000e+00    2.000000e-02
     1       54       1    1.000000e+00    2.000000e-02
     1       54       2    1.000000e+00    2.000000e-02
     1       54       3    1.000000e+00    2.000000e-02
     1       54       4    1.000000e+00    2.000000e-02
     1       55       1    1.000000e+00    2.000000e-02
     1       55       2    1.000000e+00    2.000000e-02
     1       55       3    1.000000e+00    2.000000e-02
     1       55       4    1.000000e+00    2.000000e-02
     2        1       1    1.000000e+00    2.000000e-02
     2        1       2    1.000000e+00    2.000000e-02
     2        1       3    1.000000e+00    2.000000e-02
     2        1       4    1.000000e+00    2.000000e-02
     2        2       1    1.000000e+00    2.000000e-02
     2        2       2    1.000000e+00    2.000000e-02
     2        2       3    1.000000e+00    2.000000e-02
     2        2       4    1.000000e+00    2.000000e-02
     2        3       1    1.000000e+00    2.000000e-02
     2        3       2    1.000000e+00    2.000000e-02
     2        3       3    1.000000e+00    2.000000e-02
     2        3       4    1.000000e+00    2.000000e-02
     2        4       1    1.000000e+00    2.000000e-02
     2        4       2    1.000000e+00    2.000000e-02
     2        4       3    1.000000e+00    2.000000e-02
     2        4       4    1.000000e+00    2.000000e-02
     2        5       1    1.000000e+00    2.000000e-02
     2        5       2    1.000000e+00    2.000000e-02
     2        5       3    1.000000e+00    2.000000e-02
     2        5       4    1.000000e+00    2.000000e-02
     2        6       1    1.000000e+00    2.000000e-02
     2        6       2    1.000000e+00    2.000000e-02
     2        6       3    1.000000e+00    2.000000e-02
     2        6       4    1.000000e+00    2.000000e-02
     2        7       1    1.000000e+00    2.000000e-02
     2        7       2    1.000000e+00    2.000000e-02
     2        7       3    1.000000e+00    2.000000e-02
     2        7       4    1.000000e+00    2.000000e-02
     2        8       1    1.000000e+00    2.000000e-02
     2        8       2    1.000000e+00    2.000000e-02
     2        8       3    1.000000e+00    2.000000e-02
     2        8       4    1.000000e+00    2.000000e-02
     2        9       1    1.000000e+00    2.000000e-02
     2        9       2    1.000000e+00    2.000000e-02
     2        9       3    1.000000e+00    2.000000e-02
     2        9       4    1.000000e+00    2.000000e-02
     2       10       1    1.000000e+00    2.000000e-02
     2       10       2    1.000000e+00    2.000000e-02
     2       10       3    1.000000e+00    2.000000e-02
     2       10       4    1.000000e+00    2.000000e-02
     2       11       1    1.000000e+00    2.000000e-02
     2       11       2    1.000000e+00    2.000000e-02
     2       11       3    1.000000e+00    2.000000e-02
     2       11       4    1.000000e+00    2.000000e-02
     2       12       1    1.000000e+00    2.000000e-02
     2       12       2    1.000000e+00    2.000000e-02
     2       12       3    1.000000e+00    2.000000e-02
     2       12       4    1.000000e+00    2.000000e-02
     2       13       1    1.000000e+00    2.000000e-02
     2       13       2    1.000000e+00    2.000000e-02
     2       13       3    1.000000e+00    2.000000e-02
     2       13       4    1.000000e+00    2.000000e-02
     2       14       1    1.000000e+00    2.000000e-02
     2       14       2    1.000000e+00    2.000000e-02
     2       14       3    1.000000e+00    2.000000e-02
     2       14       4    1.000000e+00    2.000000e-02
     2       15       1    1.000000e+00    2.000000e-02
     2       15       2    1.000000e+00    2.000000e-02
     2       15       3    1.000000e+00    2.000000e-02
     2       15       4    1.000000e+00    2.000000e-02
     2       16       1    1.000000e+00    2.000000e-02
     2       16       2    1.000000e+00    2.000000e-02
     2       16       3    1.000000e+00    2.000000e-02
     2       16       4    1.000000e+00    2.000000e-02
     2       17       1    1.000000e+00    2.000000e-02
     2       17       2    1.000000e+00    2.000000e-02
     2       17       3    1.000000e+00    2.000000e-02
     2       17       4    1.000000e+00    2.000000e-02
     2       18       1    1.000000e+00    2.000000e-02
     2       18       2    1.000000e+00    2.000000e-02
     2       18       3    1.000000e+00    2.000000e-02
     2       18       4    1.000000e+00    2.000000e-02
     2       19       1    1.000000e+00    2.000000e-02
     2       19       2    1.000000e+00    2.000000e-02
     2       19       3    1.000000e+00    2.000000e-02
     2       19       4    1.000000e+00    2.000000e-02
     2       20       1    1.000000e+00    2.000000e-02
     2       20       2    1.000000e+00    2.000000e-02
     2       20       3    1.000000e+00    2.000000e-02
     2       20       4    1.000000e+00    2.000000e-02
     2       21       1    1.000000e+00    2.000000e-02
     2       21       2    1.000000e+00    2.000000e-02
     2       21       3    1.000000e+00    2.000000e-02
     2       21       4    1.000000e+00    2.000000e-02
     2       22       1    1.000000e+00    2.000000e-02
     2       22       2    1.000000e+00    2.000000e-02
     2       22       3    1.000000e+00    2.000000e-02
     2       22       4    1.000000e+00    2.000000e-02
     2       23       1    1.000000e+00    2.000000e-02
     2       23       2    1.000000e+00    2.000000e-02
     2       23       3    1.000000e+00    2.000000e-02
     2       23       4    1.000000e+00    2.000000e-02
     2       24       1    1.000000e+00    2.000000e-02
     2       24       2    1.000000e+00    2.000000e-02
     2       24       3    1.000000e+00    2.000000e-02
     2       24       4    1.000000e+00    2.000000e-02
     2       25       1    1.000000e+00    2.000000e-02
     2       25       2    1.000000e+00    2.000000e-02
     2       25       3    1.000000e+00    2.000000e-02
     2       25       4    1.000000e+00    2.000000e-02
     2       26       1    1.000000e+00    2.000000e-02
     2       26       2    1.000000e+00    2.000000e-02
     2       26       3    1.000000e+00    2.000000e-02
     2       26       4    1.000000e+00    2.000000e-02
     2       27       1    1.000000e+00    2.000000e-02
     2       27       2    1.000000e+00    2.000000e-02
     2       27       3    1.000000e+00    2.000000e-02
     2       27       4    1.000000e+00    2.000000e-02
     2       28       1    1.000000e+00    2.000000e-02
     2       28       2    1.000000e+00    2.000000e-02
     2       28       3    1.000000e+00    2.000000e-02
     2       28       4    1.000000e+00    2.000000e-02
     2       29       1    1.000000e+00    2.000000e-02
     2       29       2    1.000000e+00    2.000000e-02
     2       29       3    1.000000e+00    2.000000e-02
     2       29       4    1.000000e+00    2.000000e-02
     2       30       1    1.000000e+00    2.000000e-02
     2       30       2    1.000000e+00    2.000000e-02
     2       30       3    1.000000e+00    2.000000e-02
     2       30       4    1.000000e+00    2.000000e-02
     2       31       1    1.000000e+00    2.000000e-02
     2       31       2    1.000000e+00    2.000000e-02
     2       31       3    1.000000e+00    2.000000e-02
     2       31       4    1.000000e+00    2.000000e-02
     2       32       1    1.000000e+00    2.000000e-02
     2       32       2    1.000000e+00    2.000000e-02
     2       32       3    1.000000e+00    2.000000e-02
     2       32       4    1.000000e+00    2.000000e-02
     2       33       1    1.000000e+00    2.000000e-02
     2       33       2    1.000000e+00    2.000000e-02
     2       33       3    1.000000e+00    2.000000e-02
     2       33       4    1.000000e+00    2.000000e-02
     2       34       1    1.000000e+00    2.000000e-02
     2       34       2    1.000000e+00    2.000000e-02
     2       34       3    1.000000e+00    2.000000e-02
     2       34       4    1.000000e+00    2.000000e-02
     2       35       1    1.000000e+00    2.000000e-02
     2       35       2    1.000000e+00    2.000000e-02
     2       35       3    1.000000e+00    2.000000e-02
     2       35       4    1.000000e+00    2.000000e-02
     2       36       1    1.000000e+00    2.000000e-02
     2       36       2    1.000000e+00    2.000000e-02
     2       36       3    1.000000e+00    2.000000e-02
     2       36       4    1.000000e+00    2.000000e-02
     2       37       1    1.000000e+00    2.000000e-02
     2       37       2    1.000000e+00    2.000000e-02
     2       37       3    1.000000e+00    2.000000e-02
     2       37       4    1.000000e+00    2.000000e-02
     2       38       1    1.000000e+00    2.000000e-02
     2       38       2    1.000000e+00    2.000000e-02
     2       38       3    1.000000e+00    2.000000e-02
     2       38       4    1.000000e+00    2.000000e-02
     2       39       1    1.000000e+00    2.000000e-02
     2       39       2    1.000000e+00    2.000000e-02
     2       39       3    1.000000e+00    2.000000e-02
     2       39       4    1.000000e+00    2.000000e-02
     2       40       1    1.000000e+00    2.000000e-02
     2       40       2    1.000000e+00    2.000000e-02
     2       40       3    1.000000e+00    2.000000e-02
     2       40       4    1.000000e+00    2.000000e-02
     2       41       1    1.000000e+00    2.000000e-02
     2       41       2    1.000000e+00    2.000000e-02
     2       41       3    1.000000e+00    2.000000e-02
     2       41       4    1.000000e+00    2.000000e-02
     2       42       1    1.000000e+00    2.000000e-02
     2       42       2    1.000000e+00    2.000000e-02
     2       42       3    1.000000e+00    2.000000e-02
     2       42       4    1.000000e+00    2.000000e-02
     2       43       1    1.000000e+00    2.000000e-02
     2       43       2    1.000000e+00    2.000000e-02
     2       43       3    1.000000e+00    2.000000e-02
     2       43       4    1.000000e+00    2.000000e-02
     2       44       1    1.000000e+00    2.000000e-02
     2       44       2    1.000000e+00    2.000000e-02
     2       44       3    1.000000e+00    2.000000e-02
     2       44       4    1.000000e+00    2.000000e-02
     2       45       1    1.000000e+00    2.000000e-02
     2       45       2    1.000000e+00    2.000000e-02
     2       45       3    1.000000e+00    2.000000e-02
     2       45       4    1.000000e+00    2.000000e-02
     2       46       1    1.000000e+00    2.000000e-02
     2       46       2    1.000000e+00    2.000000e-02
     2       46       3    1.000000e+00    2.000000e-02
     2       46       4    1.000000e+00    2.000000e-02
     2       47       1    1.000000e+00    2.000000e-02
     2       47       2    1.000000e+00    2.000000e-02
     2       47       3    1.000000e+00    2.000000e-02
     2       47       4    1.000000e+00    2.000000e-02
     2       48       1    1.000000e+00    2.000000e-02
     2       48       2    1.000000e+00    2.000000e-02
     2       48       3    1.000000e+00    2.000000e-02
     2       48       4    1.000000e+00    2.000000e-02
     2       49       1    1.000000e+00    2.000000e-02
     2       49       2    1.000000e+00    2.000000e-02
     2       49       3    1.000000e+00    2.000000e-02
     2       49       4    1.000000e+00    2.000000e-02
     2       50       1    1.000000e+00    2.000000e-02
     2       50       2    1.000000e+00    2.000000e-02
     2       50       3    1.000000e+00    2.000000e-02
     2       50       4    1.000000e+00    2.000000e-02
     2       51       1    1.000000e+00    2.000000e-02
     2       51       2    1.000000e+00    2.000000e-02
     2       51       3    1.000000e+00    2.000000e-02
     2       51       4    1.000000e+00    2.000000e-02
     2       52       1    1.000000e+00    2.000000e-02
     2       52       2    1.000000e+00    2.000000e-02
     2       52       3    1.000000e+00    2.000000e-02
     2       52       4    1.000000e+00    2.000000e-02
     2       53       1    1.000000e+00    2.000000e-02
     2       53       2    1.000000e+00    2.000000e-02
     2       53       3    1.000000e+00    2.000000e-02
     2       53       4    1.000000e+00    2.000000e-02
     2       54       1    1.000000e+00    2.000000e-02
     2       54       2    1.000000e+00    2.000000e-02
     2       54       3    1.000000e+00    2.000000e-02
     2       54       4    1.000000e+00    2.000000e-02
     2       55       1    1.000000e+00    2.000000e-02
     2       55       2    1.000000e+00    2.000000e-02
     2       55       3    1.000000e+00    2.000000e-02
     2       55       4    1.000000e+00    2.000000e-02
     3        1       1    1.000000e+00    2.000000e-02
     3        1       2    1.000000e+00    2.000000e-02
     3        1       3    1.000000e+00    2.000000e-02
     3        1       4    1.000000e+00    2.000000e-02
     3        2       1    1.000000e+00    2.000000e-02
     3        2       2    1.000000e+00    2.000000e-02
     3        2       3    1.000000e+00    2.000000e-02
     3        2       4    1.000000e+00    2.000000e-02
     3        3       1    1.000000e+00    2.000000e-02
     3        3       2    1.000000e+00    2.000000e-02
     3        3       3    1.000000e+00    2.000000e-02
     3        3       4    1.000000e+00    2.000000e-02
     3        4       1    1.000000e+00    2.000000e-02
     3        4       2    1.000000e+00    2.000000e-02
     3        4       3    1.000000e+00    2.000000e-02
     3        4       4    1.000000e+00    2.000000e-02
     3        5       1    1.000000e+00    2.000000e-02
     3        5       2    1.000000e+00    2.000000e-02
     3        5       3    1.000000e+00    2.000000e-02
     3        5       4    1.000000e+00    2.000000e-02
     3        6       1    1.000000e+00    2.000000e-02
     3        6       2    1.000000e+00    2.000000e-02
     3        6       3    1.000000e+00    2.000000e-02
     3        6       4    1.000000e+00    2.000000e-02
     3        7       1    1.000000e+00    2.000000e-02
     3        7       2    1.000000e+00    2.000000e-02
     3        7       3    1.000000e+00    2.000000e-02
     3        7       4    1.000000e+00    2.000000e-02
     3        8       1    1.000000e+00    2.000000e-02
     3        8       2    1.000000e+00    2.000000e-02
     3        8       3    1.000000e+00    2.000000e-02
     3        8       4    1.000000e+00    2.000000e-02
     3        9       1    1.000000e+00    2.000000e-02
     3        9       2    1.000000e+00    2.000000e-02
     3        9       3    1.000000e+00    2.000000e-02
     3        9       4    1.000000e+00    2.000000e-02
     3       10       1    1.000000e+00    2.000000e-02
     3       10       2    1.000000e+00    2.000000e-02
     3       10       3    1.000000e+00    2.000000e-02
     3       10       4    1.000000e+00    2.000000e-02
     3       11       1    1.000000e+00    2.000000e-02
     3       11       2    1.000000e+00    2.000000e-02
     3       11       3    1.000000e+00    2.000000e-02
     3       11       4    1.000000e+00    2.000000e-02
     3       12       1    1.000000e+00    2.000000e-02
     3       12       2    1.000000e+00    2.000000e-02
     3       12       3    1.000000e+00    2.000000e-02
     3       12       4    1.000000e+00    2.000000e-02
     3       13       1    1.000000e+00    2.000000e-02
     3       13       2    1.000000e+00    2.000000e-02
     3       13       3    1.000000e+00    2.000000e-02
     3       13       4    1.000000e+00    2.000000e-02
     3       14       1    1.000000e+00    2.000000e-02
     3       14       2    1.000000e+00    2.000000e-02
     3       14       3    1.000000e+00    2.000000e-02
     3       14       4    1.000000e+00    2.000000e-02
     3       15       1    1.000000e+00    2.000000e-02
     3       15       2    1.000000e+00    2.000000e-02
     3       15       3    1.000000e+00    2.000000e-02
     3       15       4    1.000000e+00    2.000000e-02
     3       16       1    1.000000e+00    2.000000e-02
     3       16       2    1.000000e+00    2.000000e-02
     3       16       3    1.000000e+00    2.000000e-02
     3       16       4    1.000000e+00    2.000000e-02
     3       17       1    1.000000e+00    2.000000e-02
     3       17       2    1.000000e+00    2.000000e-02
     3       17       3    1.000000e+00    2.000000e-02
     3       17       4    1.000000e+00    2.000000e-02
     3       18       1    1.000000e+00    2.000000e-02
     3       18       2    1.000000e+00    2.000000e-02
     3       18       3    1.000000e+00    2.000000e-02
     3       18       4    1.000000e+00    2.000000e-02
     3       19       1    1.000000e+00    2.000000e-02
     3       19       2    1.000000e+00    2.000000e-02
     3       19       3    1.000000e+00    2.000000e-02
     3       19       4    1.000000e+00    2.000000e-02
     3       20       1    1.000000e+00    2.000000e-02
